Age,Sleep_Hours,Screen_Time,Stress_Level,Noise_Exposure,Social_Interaction,Work_Hours,Exercise_Hours,Caffeine_Intake,Multitasking_Habit,Anxiety_Score,Depression_Score,Sensory_Sensitivity,Meditation_Habit,Overthinking_Score,Irritability_Score,Headache_Frequency,Sleep_Quality,Tech_Usage_Hours,Overstimulated
19,5.877199288646933,6.3661775039841375,4,4,7,8,2.7829281165257846,4,0,6,8,2,1,8,9,4,4,5.161819042908149,0
38,8.879029120067042,1.9049955670476808,3,1,7,5,2.4634262744916304,0,1,9,3,4,1,5,2,0,2,5.885771296070867,0
50,9.300161863786078,6.0554246293498535,8,1,0,6,0.6742924343260683,3,0,1,5,3,1,1,3,6,3,9.838469313483413,1
29,5.473949655119027,4.371098148471024,4,3,1,6,2.6225466998818607,2,0,9,4,4,0,3,7,0,4,8.13372099760998,0
39,4.658093912821375,10.046193323038898,1,0,3,14,0.7903282781904278,1,0,6,1,2,0,2,2,4,2,6.6652434548456565,1
42,8.463678606707033,1.626765996971051,6,3,8,8,0.6160196380171695,4,1,4,9,1,0,5,1,3,4,4.273350530314025,0
44,4.923642248836953,5.604680024101629,1,3,2,8,0.7927318104366371,4,1,5,5,3,0,8,9,5,3,1.243624178232686,1
59,8.758300229595749,6.042745665445818,5,2,5,9,2.729865189817828,1,1,1,2,3,1,9,6,4,3,2.0487484964687654,0
45,5.96616777554134,8.975066839290307,7,4,6,8,2.7467759565446084,0,1,7,2,3,1,9,9,0,3,7.577805254854454,1
33,7.672849295040293,7.317163325992321,6,1,7,9,0.9869873240639064,4,0,8,7,0,1,1,3,1,1,4.322835354177306,0
32,3.668747196842677,8.339335709135991,2,0,6,11,2.116302555283654,0,1,5,4,2,1,1,3,3,2,4.009936922583804,1
20,7.367015272736011,9.547542142169318,4,4,2,5,2.02723576549255,1,1,2,1,0,0,1,3,4,2,9.000805227317642,1
54,6.162373751160604,10.484232710240077,2,4,5,7,2.41968789639121,0,0,8,5,3,0,1,2,6,3,5.36058001462394,1
24,7.106259242228319,4.452630463947175,1,0,4,9,0.8895285004263932,2,0,7,2,3,1,9,6,1,2,9.096193516717987,0
38,4.176099454214044,6.918249759002933,3,4,9,8,1.5304156257312056,1,0,9,7,4,0,1,3,4,3,8.979746593619797,1
26,8.158116214609276,10.241188862831198,3,2,3,4,2.0030218530248605,1,0,4,9,0,0,7,5,3,2,1.72163162543099,1
56,9.0395795428026,11.88396244061562,7,4,0,12,0.07877045642971814,4,0,9,1,1,1,6,5,0,4,9.50826680590182,1
35,4.51717860063543,10.784712421481395,1,2,6,6,1.1302162359928638,4,0,4,2,2,1,9,3,5,2,1.692593952468017,1
21,3.6700018886411323,5.086139888868145,9,1,7,5,2.0876650730357067,4,0,3,6,1,0,9,3,6,3,9.671555037224914,1
42,3.1654701023243548,3.1468316894051545,6,1,1,12,0.7577852793574003,2,1,3,8,1,1,4,1,5,2,5.073534258394513,1
31,7.493800503102862,6.383317911472476,4,3,6,10,2.8731123210194616,2,1,2,7,2,1,9,6,3,4,7.847746081791186,0
26,7.249658252621465,9.158055970196465,3,2,5,8,0.09048411452051686,3,0,3,9,3,1,6,3,2,4,7.355299304708681,1
43,6.82688188899849,6.418259778286274,3,1,4,9,2.8742615627622685,1,0,8,2,4,1,5,1,5,4,5.666454768920756,0
19,4.623629672811828,6.3149894964503535,2,4,3,14,0.6502916040312001,4,1,8,9,3,1,9,9,4,3,6.575093369520789,1
37,5.736341971338603,10.220534631899806,2,0,1,7,0.14646612577610996,1,0,2,4,3,1,7,1,1,1,9.549263633492753,1
45,7.161334346303211,4.97544156973905,5,0,9,4,0.8774220996706724,0,0,2,3,0,1,9,5,1,3,9.346163415969162,0
24,6.477368012014185,10.457741422928102,9,2,5,7,2.358846921870676,2,0,2,7,1,1,5,5,6,4,6.888934452331782,1
25,9.914498641504212,5.474852810468959,2,3,4,12,2.2573260193441596,3,0,7,5,1,1,4,2,5,2,6.919468110410727,0
52,3.955078267897132,4.610564162461733,2,4,1,4,0.6265212492683762,0,0,6,5,1,0,3,1,3,4,3.2224482405265427,1
31,7.866011878333157,5.993889023196689,6,2,9,13,0.5903704007753983,1,1,1,2,4,1,5,6,6,1,8.457611452463114,0
34,5.830231376730045,9.386916545423553,2,0,6,6,1.9277397474136224,2,0,2,6,4,1,9,7,3,1,6.693429997018692,1
53,5.997397304479303,2.386022306503937,4,2,5,8,1.3742480690271917,4,0,1,6,4,1,3,9,3,4,8.436239127985873,0
57,8.023184359607233,3.1606113745921913,6,4,8,10,2.3768698599927065,0,0,7,4,2,0,1,8,1,3,6.920671692591789,0
21,7.847053059270587,11.465893082294011,5,1,9,12,0.07239833607766077,2,1,6,5,4,1,2,3,0,1,3.693880234284535,1
19,9.938791955915319,2.930407901194931,1,4,4,9,1.8312355822817132,1,1,2,7,0,1,5,9,1,4,2.7053326245773195,0
23,3.8987600261788766,7.2450004972416,6,1,8,6,2.1920160367196275,1,0,2,8,0,0,3,1,0,3,1.6926925980083989,1
59,3.7287675456891645,7.372459133281317,1,1,8,10,2.980158336086007,0,0,2,6,3,0,6,6,6,2,6.273954390341142,1
21,8.070371719901189,6.385869082552693,3,1,0,7,2.0363450827105405,0,0,8,5,3,1,8,2,6,3,3.556462217578615,0
46,7.048708419044864,8.092197734345005,5,2,4,6,0.6955354696498989,0,0,7,3,3,0,6,9,6,1,6.674585631317329,1
35,4.919124665918641,3.5280939837738026,5,0,8,10,0.32455858464011633,3,1,1,7,3,0,9,9,3,3,1.5279080039539439,1
43,3.5559355829229062,7.07928494554423,6,2,6,14,1.9227503239322261,4,1,4,8,0,0,6,8,2,3,4.3809675850506435,1
51,3.5996077471750136,5.093905807715869,8,0,5,14,1.569549202554648,2,0,4,3,3,0,5,7,1,2,3.3449789383279804,1
27,9.259336122648829,8.278339855921079,5,4,5,10,2.6974358653350494,1,0,7,5,0,0,4,6,3,4,4.333006702010017,1
53,4.3430712730312,2.5534589771046443,1,3,6,7,2.179824063543825,1,1,2,2,4,1,2,2,1,3,1.4885508678092836,1
31,5.263600934808645,7.279651585234238,5,4,0,10,1.529227350127862,4,1,4,4,4,0,6,4,3,2,7.517632769501019,0
48,4.586594815588916,3.0379739092165607,3,2,3,14,1.210768412295443,0,0,1,4,2,1,2,7,1,1,2.050275998286759,1
32,5.484974140823561,4.065073694265401,4,2,0,5,1.213124098712461,0,0,4,8,3,1,5,6,4,4,1.1296236371333794,0
25,3.4859668992226536,3.4058078035594157,8,0,5,4,0.6789128584537036,1,0,1,3,4,1,1,9,1,1,9.516601912504001,1
31,6.633418536357892,3.011215578556988,7,2,3,5,0.05197791526709117,4,1,2,5,4,0,3,5,4,4,2.735887441285449,0
40,3.473287945145504,10.082820467167338,5,1,0,7,1.7247317646213185,1,1,2,5,1,1,5,6,0,3,8.452551686009146,1
57,8.60249555475653,4.142783244269793,2,2,8,11,0.6372441975696456,0,1,3,2,1,0,7,6,1,3,9.68023539781412,0
38,4.635984573373031,11.198361600508942,6,0,3,6,0.6249807531841244,2,1,8,9,0,1,8,8,0,4,5.807090796118858,1
33,6.780083402231574,11.6691917787971,6,0,5,13,0.3761436860294415,0,0,6,4,2,1,7,8,2,1,5.7350634404279175,1
35,9.160553612930208,7.28386516930807,6,1,6,9,0.5687864705300782,2,1,6,9,1,1,7,6,5,1,4.3067552048506865,0
41,7.556141583330359,2.5730123493229904,9,0,7,9,0.09536744866541302,3,1,9,9,2,0,2,8,5,1,4.830353782978554,1
43,6.730704505859347,5.120030677175394,8,3,8,12,2.022694349245596,4,1,8,2,4,1,6,7,4,3,5.338678572580061,1
42,5.270336271807629,9.775054896830355,8,4,8,12,1.2041913489380827,3,0,2,9,0,0,5,1,1,4,2.368849633485663,1
58,5.331013391407385,5.041298015667775,1,2,7,7,1.6845737963194352,0,1,6,9,2,0,9,5,5,4,4.282630515463232,0
46,7.686408686387331,1.9571894013306763,5,3,9,12,1.9108728540623985,4,1,1,2,1,0,4,5,0,1,8.344975983485007,0
32,9.958975528548173,7.124634020210067,7,2,2,9,2.9174536868284777,0,1,9,6,4,1,7,9,5,3,2.641583076233252,0
18,7.63287432894565,10.296329366456382,6,3,1,5,0.20479759756650295,4,0,4,9,3,1,8,7,5,4,7.568679222587038,1
42,6.904483921590174,9.755190258578526,5,2,4,13,1.253753054494314,4,1,4,4,4,1,6,7,3,4,6.864279402413716,1
24,8.114553571674723,2.9263545414338856,8,1,0,14,0.7376938005794431,0,0,9,2,1,1,3,2,5,1,1.515679977543932,1
26,6.256439285986027,8.400410758537134,3,0,2,9,1.4301357955704423,0,0,3,7,1,0,5,8,0,1,1.201859815939124,1
41,3.4209963982054967,3.425546897792118,6,0,0,5,2.7614169018416646,4,1,5,9,3,1,1,3,5,4,4.1727561632051415,1
18,6.936077711145368,3.4002828800738945,5,1,2,11,2.171952795744454,4,0,1,6,4,0,8,9,1,3,7.22953249418657,0
25,9.703376991537661,10.614789506357036,8,3,3,7,1.9858487594396799,0,1,6,4,2,0,2,6,5,2,3.9737613462459542,1
41,4.227120596503617,3.746358480142532,4,4,6,8,1.3237376292935323,0,0,3,1,2,1,7,9,2,4,7.009599705404445,1
28,7.830034235744661,3.895720811698123,8,3,4,11,2.0133374951233076,1,0,1,4,4,1,9,9,5,4,6.989123287251834,1
34,4.406535820613396,1.007187298374295,2,0,4,14,0.09712613182322427,1,1,6,3,2,0,1,7,4,3,8.25899160361842,1
25,6.750793791311569,10.577359375380695,9,4,0,11,1.7587160160896833,1,1,2,7,4,0,4,8,3,4,1.8953705323346028,1
52,3.6767351475270376,9.718542945300483,9,2,7,9,1.6613296877977448,3,0,8,5,4,1,7,2,6,2,6.194160020687173,1
52,6.152596553807296,7.900618285997458,6,4,3,7,1.0399212958895785,4,0,2,3,1,1,9,5,0,3,1.5624740761598304,0
50,8.293143302266722,9.252923403327264,4,3,9,4,0.6045423762723252,2,0,4,2,0,1,2,3,5,2,2.58352426246004,1
22,5.433000669672874,2.6725342416694096,4,1,4,10,2.422666652997903,3,0,3,2,1,0,2,1,5,2,3.929508125705283,0
59,7.654382071410526,6.0415595404633295,6,2,1,11,0.16158634336528943,4,1,9,5,2,0,6,6,1,4,7.366503163865193,0
56,8.568149725528105,4.863413260836589,5,3,0,12,0.20901859327076333,2,0,2,8,0,1,3,9,6,2,9.764901775036734,0
58,9.490244736356168,2.031541788827181,6,2,8,5,1.3215652319524396,1,0,3,8,4,0,4,2,1,4,4.082687329473195,0
45,4.642494572988175,6.347435337364165,7,4,1,4,0.7576636422258152,2,1,7,5,2,0,3,9,4,4,5.690300368624158,1
24,5.795211410665157,11.12813615376899,7,0,5,7,2.236357240521061,0,0,4,2,3,0,1,8,6,3,3.3315003588019185,1
26,4.066912093312922,1.4406503095576393,9,3,0,8,1.902570230763573,0,1,6,4,2,0,6,9,3,3,7.079406585486533,1
25,9.947384515108627,4.206070048431733,8,1,0,13,2.3176043883798942,4,1,3,7,0,1,2,5,0,3,4.299272811554018,1
29,9.489006775470067,3.282950298262738,6,4,8,4,0.9740368690134033,3,1,1,6,0,0,2,2,0,4,5.334365560944498,0
51,6.779699911963917,3.6196131903226596,6,3,3,8,2.2215568188536023,1,0,6,7,4,1,7,6,0,2,6.110315882655659,0
50,8.89423306063495,10.992780070673128,5,1,8,9,2.5869097080791965,4,1,4,5,3,1,5,7,4,2,7.17618096916549,1
40,6.646705840904295,6.148759596577191,1,3,4,6,1.0358234832557152,1,1,2,2,4,0,8,3,4,3,1.5404649516077793,0
41,7.365099816019318,6.129293542338007,9,4,6,10,1.0196874634855,0,1,7,8,3,1,2,6,5,3,5.994109844079343,1
54,3.623871024812116,9.366332067008106,9,3,0,9,2.6998542117192788,3,0,5,2,3,1,8,6,3,4,4.880476880329924,1
52,8.286892943477655,2.699414244054184,9,2,5,7,0.1493707595631274,3,0,6,8,4,1,7,8,0,1,2.2038857783170043,1
57,3.8939943854466437,6.3599188951005585,8,4,7,6,1.050568217192533,0,0,6,7,2,0,8,1,0,1,2.8723300149822553,1
39,8.782473411767699,5.729837355331657,3,3,0,8,0.35601747621541224,2,0,9,3,1,1,3,4,5,4,8.955010819901236,0
44,8.474196613692701,7.566017596013218,1,0,8,6,0.0869417707499287,3,1,2,4,3,0,8,1,3,1,8.845984081902131,0
52,7.961212884200835,11.995134735754824,8,3,2,13,0.33860825294046637,2,1,6,7,0,1,6,8,6,1,1.299972289813074,1
18,3.253122663673335,9.463937834902518,7,2,0,12,1.2937373735408308,1,1,9,4,4,1,2,2,3,1,7.20461342112627,1
52,5.1218984916173005,5.376522733191699,5,1,0,12,2.060868207683372,3,0,4,9,2,1,6,8,3,3,5.987685818236187,0
54,4.8417879893759,10.103083575014516,7,1,5,9,0.8678472733258888,0,1,6,7,3,1,5,3,1,2,9.458342588325237,1
31,5.520954852300633,2.8777919964372822,4,1,5,14,2.5490259222033744,2,0,7,1,2,0,3,8,3,2,9.172051399201742,0
20,3.61349922734687,1.3351005493985615,9,0,0,9,1.3128468862150502,1,0,1,1,4,1,1,6,2,3,6.216057215671258,1
18,9.55870476121744,3.2489320971070037,2,2,2,7,2.9046841528852307,1,0,5,4,0,1,7,1,4,3,2.2505942918665327,0
22,6.876615684986634,4.744527117256856,9,4,6,7,2.8624670083311,3,1,4,9,3,1,2,7,3,3,5.138335213023701,1
43,5.138670174606165,6.616388332055159,9,1,9,5,2.3198286680004454,3,1,2,4,3,0,1,7,1,1,7.526479302361052,1
31,5.778870619519984,7.766420545953198,5,2,2,13,2.7972164884398545,4,0,2,5,2,0,1,6,6,4,9.565629715808843,0
56,6.13041778353385,11.016662889358638,1,3,2,7,2.1212882284833348,4,1,2,1,4,1,7,1,2,4,4.274464651773243,1
44,7.204160333524321,6.6083941050550346,7,0,2,11,2.686749569973544,3,0,7,2,1,1,1,5,1,1,8.062043283581968,0
26,6.609755993875485,6.514032090883023,4,2,6,13,0.7094211520989195,4,1,4,4,3,1,9,1,1,1,7.150066779535513,0
32,9.43574381250092,1.5526731080528036,9,2,3,5,1.036260600530396,0,0,6,4,0,1,6,1,5,3,1.7046349942803591,1
32,6.478744380340812,1.384027079218462,6,4,3,12,2.2587901980145846,0,0,7,6,3,0,4,6,1,3,6.021791652576591,0
43,9.94510610376319,7.062759581080092,3,2,2,4,1.2736837146196713,4,0,9,6,3,0,4,8,1,2,2.6515795018544726,0
59,8.959974704215671,5.81996474573179,6,4,9,5,2.511982301473554,3,1,2,8,1,0,5,1,0,3,7.151943629599881,0
30,4.459573600501351,10.230984344783284,6,0,8,5,2.6329166147633254,0,1,9,9,1,1,2,2,4,1,6.490763622465753,1
49,9.514166502507415,2.767475431830297,5,0,1,14,0.8991884541627746,1,1,5,1,4,1,5,5,5,2,9.757432824704498,0
56,3.814564785198333,1.2746882832875457,2,3,3,9,2.4703524245687207,3,1,6,1,3,1,2,8,5,3,9.418443986123286,1
49,8.722147959438342,5.9394264472313845,2,4,7,10,0.4627928131954502,2,1,6,6,3,1,4,4,0,2,1.0843555023899307,0
21,5.664363054336061,3.6122641242748323,7,4,5,6,1.0025901346105472,2,0,3,4,2,0,5,5,2,2,1.7202648715452966,0
47,9.145820243115487,1.545758106727212,2,1,6,14,1.553894853364167,3,1,7,4,2,0,6,5,0,3,7.922208802866051,0
54,9.076396830752152,8.970581155323918,6,1,6,12,0.6793312863116765,4,0,7,1,0,0,6,3,5,4,7.170787656784691,1
40,8.641477800823349,2.227522999529722,5,3,1,8,1.7378034887255978,0,1,8,9,0,1,9,6,2,1,8.208510386652023,0
56,8.53021305414943,7.691514500085488,4,0,3,8,1.7360852361529397,0,1,5,3,2,1,4,5,5,1,3.4013343040149127,0
32,5.1327539736862855,4.091547251835781,7,1,9,14,0.6207086845527172,3,1,2,5,0,1,5,2,3,2,8.64390491886229,0
46,3.566434981358765,2.9084565539052423,8,2,9,7,2.38692403465637,1,0,3,1,3,1,6,4,2,4,4.981775247893223,1
53,5.82086125135613,5.177266752112492,4,0,5,12,1.8949334682344907,4,1,9,8,1,1,4,4,5,4,3.3571763620699757,0
30,4.214671604905561,9.81590353845249,1,2,2,11,0.9532815204748628,1,0,6,3,3,0,6,7,0,3,1.0954697282640313,1
49,7.864657622317232,5.3130293459503,1,4,8,7,0.6965543504108758,3,1,8,1,2,1,2,7,5,3,8.842276313376345,0
24,5.422698085764498,9.258466141321612,1,0,3,7,2.6362504165034806,3,0,8,6,4,1,7,9,0,1,5.818094643161552,1
39,9.829271406019405,2.3803492647906577,1,3,9,5,2.507226735673958,1,0,5,1,4,0,3,2,2,3,9.778438753767933,0
45,7.4868045414173245,9.50048561631587,5,4,1,12,0.6892820245665789,2,0,1,3,2,0,4,6,0,3,7.432132506105335,1
19,8.757363945440527,3.606266573973135,4,4,5,6,0.10681567954952631,3,0,6,5,3,1,9,2,2,2,1.723754291408007,0
59,3.927672709192939,8.4513244287776,9,2,0,7,2.4135977872293717,4,1,7,4,0,0,5,9,1,4,6.293720677619282,1
23,9.034101375908358,7.22359710325096,3,4,5,10,1.8465256657951294,1,1,9,7,0,1,9,2,4,4,1.1541208584101275,0
45,9.45930033359376,11.22059188932856,7,1,9,13,0.3026460841603791,2,0,2,6,4,1,6,6,6,3,6.020036687916389,1
45,6.409433431732552,5.260547697728454,8,0,0,11,1.7620746186566854,1,1,2,3,2,0,8,8,2,3,4.151814967891727,1
37,7.243770564256842,1.727817077178845,6,1,7,11,1.3565480560850829,2,0,1,8,2,1,5,6,6,3,6.78966251246889,0
47,8.35366860632097,1.2107103410637818,1,2,4,7,2.323650982421075,2,1,5,8,1,1,5,3,6,1,5.874167856216436,0
28,4.223870390822888,10.095444170700285,8,2,5,10,0.6272545264761901,4,1,2,2,4,1,3,5,1,1,3.3521529107303953,1
45,6.517962535244097,6.772092014275754,3,0,1,13,1.3594702329150796,3,1,3,7,2,0,7,4,1,2,2.461155481952416,0
42,5.7906411944061915,9.527684570184443,8,4,1,4,0.46873234275575026,2,0,2,1,1,0,2,1,1,1,4.6424033770757465,1
56,4.024617945135744,3.5786816001266617,4,3,8,9,2.87258168343254,3,1,4,2,0,0,3,5,6,4,9.881526833646442,1
50,5.57274095604072,4.795921200645571,8,2,2,9,2.3362144707754924,4,0,3,8,4,0,2,5,1,1,4.921287764943445,1
18,3.4772061656984548,1.3311425943245083,1,0,5,9,2.21016727950419,3,1,9,1,4,1,8,7,2,4,7.739084240400624,1
44,3.180683348646409,11.576415570315234,3,3,9,5,2.070619995062406,0,0,2,2,2,0,4,7,6,1,1.5127617304483365,1
30,3.9461640240837594,8.346546973708946,6,4,4,11,1.270009327399145,2,1,7,1,2,1,8,2,6,1,4.409791879756632,1
58,9.741805781124217,11.265255965352369,9,2,3,8,2.769847247109434,4,0,3,5,3,0,8,4,0,2,6.222907334791034,1
20,6.846706751265119,3.9204604817197954,2,0,9,8,0.21875103578101618,1,0,8,7,0,0,8,1,1,3,7.760768619956339,0
56,9.760755128072539,7.726099723482269,1,0,1,5,2.4097772150368555,4,0,4,6,0,1,8,5,3,3,5.755452915853541,0
23,6.027485148310924,8.463499651219017,3,0,7,7,0.645698196317198,2,1,4,6,1,0,8,5,1,3,5.637659912207032,1
25,5.182712931596817,4.493046702833473,4,2,9,12,0.972083866901544,4,0,9,6,1,0,9,4,0,2,7.875162213374521,0
44,6.542993039881709,10.32920158517193,5,3,6,12,1.5582891869019249,1,1,3,8,3,1,2,7,0,4,3.8195894558701022,1
26,6.076581820430371,11.418776091902727,3,0,1,9,2.3479650331667385,0,0,7,5,0,0,9,6,4,1,1.8154946878425329,1
54,3.739652789832207,10.733406294656048,2,4,5,14,2.5156047229612097,2,0,1,7,1,1,8,3,4,2,4.124354239156651,1
50,7.485784202831444,9.129736735333099,2,0,7,12,1.7511967504803745,2,0,7,3,0,0,1,2,6,4,2.430966119044912,1
59,4.512267277567197,4.052111476974495,7,3,6,7,1.2091064668040556,4,1,2,9,0,1,5,4,1,2,9.6934978372009,1
41,7.337115684284807,4.097776463161949,9,2,0,14,2.8395072642096304,3,1,6,3,1,0,2,9,1,2,6.197603927290225,1
32,7.551407646787074,11.596963524906418,2,0,4,4,0.739563887518105,3,1,9,6,2,1,5,5,5,4,5.019403881948568,1
49,4.064173971900537,1.1131294552926123,7,0,1,5,2.409283727641906,1,1,6,3,2,0,8,1,6,3,9.208466903409105,1
49,3.429447389774677,8.876549705663589,7,4,5,4,1.8361488643444597,0,1,3,1,1,1,9,3,5,1,9.10325248630393,1
41,8.465331102479078,8.768707788107884,7,4,6,11,1.1306850506556412,0,1,1,1,3,0,9,9,4,3,4.741275511667887,1
58,6.218602966385241,7.849584950447772,3,0,6,12,0.004103953090610402,4,1,4,3,4,0,1,7,1,2,8.872546260248292,0
29,3.4071465685383306,11.891197306955524,7,0,2,13,1.3397979040458803,4,0,4,4,0,0,7,3,5,4,1.5762333982871106,1
56,9.96406422018837,4.4306737934009774,1,4,6,9,0.8301599926268978,3,0,8,2,4,1,8,1,3,2,8.971472307992922,0
19,3.4044639269745662,4.73969050172573,1,3,4,5,0.31303983997668183,0,1,7,9,1,1,3,4,2,3,3.7952517569988853,1
20,7.865246602009872,1.868333432412111,5,1,7,9,0.22547569601425455,0,1,7,8,0,0,6,9,4,3,6.086100559065591,0
54,9.885752476843894,5.8707795019811115,2,1,7,12,1.0426749819348058,0,1,7,3,4,0,3,7,4,3,3.4271972494515186,0
34,4.674260729511479,3.8715337885833288,9,0,6,6,1.8442721662219457,1,1,2,7,2,0,9,5,0,1,9.863196014524055,1
19,3.9957455808103735,4.777253723954086,7,4,5,12,2.512557946094321,1,1,9,4,3,0,3,6,1,3,1.646019850026522,1
19,3.8496945759570025,10.180289692811904,4,2,1,5,0.5506897348419807,4,0,6,5,4,0,2,1,4,1,5.02259758102586,1
45,5.122926032973169,11.290329648802453,4,2,5,14,1.2739319139271488,3,1,2,4,3,0,9,7,4,1,6.588893393502052,1
40,3.707320677074527,3.043063792057042,2,1,8,8,1.1758684204264567,2,1,1,9,2,0,8,5,5,3,6.540510271035614,1
54,7.845129391858923,5.097598247088125,5,3,1,14,1.540182027625547,3,1,1,7,4,0,8,7,3,4,7.648825507883595,0
49,3.436042586910439,11.214936183269336,4,1,0,5,2.4287618124286583,1,0,1,4,1,0,2,5,6,2,7.519737936898387,1
50,6.5659548970485275,1.679893067581449,1,0,4,10,1.6609356539977045,1,0,4,8,0,0,6,5,1,2,8.138284346802731,0
18,9.976877976970837,2.0159658092251638,8,3,5,14,2.5399647405068824,4,0,4,2,2,1,5,3,2,1,3.1085866854072246,1
36,8.69779188654213,2.7907008812685232,3,2,2,13,1.5556552682069333,2,0,9,7,3,1,2,5,3,1,4.334558440617052,0
19,7.306536067617076,7.547341175395623,6,4,7,12,1.8115420955438144,0,1,1,1,3,0,5,8,2,1,4.438298043822455,0
43,5.143775345506281,2.6551949810659723,4,4,6,10,1.3121497274789693,2,0,3,8,2,0,4,8,0,2,9.602556948191278,0
49,7.367270854041469,11.64884019595807,9,0,1,8,2.469286740886901,2,0,3,6,1,0,9,2,4,1,4.683806713766874,1
23,6.689290247381561,5.913859799843724,7,1,6,7,2.771481619093958,2,0,8,5,1,1,1,1,5,4,2.996822896342092,0
49,5.982583687232601,6.51669756385183,9,0,0,7,1.917434214369437,4,0,2,9,3,1,6,2,3,4,6.691099837525757,1
21,3.914972637181396,3.713244773859471,3,4,8,13,2.462347347518712,1,0,6,9,2,0,7,7,2,1,4.845402233427055,1
28,9.206229506683268,6.180562776782068,1,2,6,11,0.17701000199730088,0,1,4,3,2,0,6,3,1,2,3.2507205680417344,0
34,6.148492541749258,8.281049959007127,5,4,5,13,2.718335254339973,2,0,6,9,0,0,5,8,0,3,7.43621927012381,1
55,4.362357582745355,9.262948506494471,3,3,1,13,0.5667752005173737,0,0,5,9,3,1,4,4,6,2,2.727327579829556,1
41,5.5743154561410275,9.292548909809042,6,4,2,13,0.7695612819774238,2,0,9,2,1,1,5,8,0,3,6.700186365934136,1
22,5.898908267702489,7.3568022396349715,8,4,0,13,0.15999020462023872,1,1,9,5,4,1,9,2,4,3,4.874776387633694,1
51,8.79276526896812,10.947957524932429,4,3,9,13,2.896200350922177,0,1,1,2,1,1,5,5,4,1,3.872504478976049,1
23,8.135300663929815,9.991486320367203,5,1,4,4,2.556032548465129,3,1,3,1,1,0,8,6,2,4,9.513840407385711,1
39,8.38513425548938,9.32752926168488,5,4,8,8,2.7395538122732512,1,1,1,7,4,0,7,1,2,1,3.919667570333019,1
28,3.0772188510005307,1.611660738485067,4,0,5,5,2.5416485032800447,0,1,6,4,3,0,4,1,0,3,4.127566367349714,1
33,5.913077987258331,1.0756575844161425,4,4,4,14,1.4385916581638667,2,1,3,5,0,0,5,9,2,1,8.835745277198539,0
50,6.369409061447265,3.3369200491502027,4,0,2,12,2.7722458022722902,2,1,1,4,1,0,7,5,4,3,2.1613902658794393,0
